"id","provenience","region_id","geo_coordinates","anc_name","transc_name","pleiades_id","site_id","ara_name","arm_name","fas_name","geo_name","gre_name","heb_name","rus_name","osm_id","osm_type","geonames_id","lon_wgs1984","lat_wgs1984","accuracy"
"2","Sippar-Amnanum (mod. Tell ed-Der)","7","44.299183820213045, 33.099195374339885","Sippar-Amnanum","Tall al-Daiyyr","392373882","SIP","تل الدير",,,,NULL,,,"0",,"0","44.2992","33.0992","3"
"3","uncertain (mod. Mugdan/Umm al-Jir)","8","44.85014613504127, 32.64979722866254","Mukdan","Umm al-Jīr","0","MUG","أم الجير",,,,NULL,,,"0",,"0","44.8501","32.6498","3"
"4","uncertain (mod. Hissar)",NULL,NULL,,"Tapeh Ḥeṣār","942329","HSR",,,"تپه حصار",,NULL,,,"0",,"0","54.3851","36.1545","3"
"5","uncertain (mod. Masat Höyük)","1","35.76245098080403, 40.14817506039234","Tapigga","Maşat Höyük","133411593","MHO",,,,,NULL,,,"0",,"0","35.7625","40.1482","3"
"7","uncertain (mod. Tell Muhammad)","7","44.46819490189194, 33.300930077347395",NULL,NULL,NULL,"YMH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"8","uncertain (mod. Tell Abu Nakhlab)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"9","uncertain (mod. Lahir)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"10","Antipatris (mod. Tel Aphek)","3","34.931149133100085, 32.10537992207185","Antipatris","Tel Afek","687996","APH",,,,,NULL,"תל אפק",,"558583215","node","295746","34.9311","32.1054","3"
"11","Qasr-i Abu Nasr (mod. uncertain)","9","52.62521711541056, 29.584843666643376",,"Qaṣr-i Abūnaṣr","922623","QAN",,,"قصر ابونصر",,NULL,,,"0",,"0","52.6252","29.5848","3"
"12","Susa (mod. Shush)","9","48.2569427679668, 32.189572864036315","Susa","Šūš","912936","SUS",,,"شوش",,NULL,,,"0",,"0","48.2569","32.1896","3"
"13","Dur-Kurigalzu (mod. Aqar Quf)","7","44.18881205790802, 33.359956957913035","Dur-Kurigalzu","Tall ‘Aqarqūf","893988","AQA","تل عقرقوف",,,,NULL,,,"2486175272","node","6647830","44.1888","33.3600","3"
"14","Samal (mod. Zinčirli)","2","36.67835867233605, 37.10357764246285","Samal","Zinčirli","192555966","ZCR",,,,,NULL,,,"0",,"0","36.6784","37.1036","3"
"16","Lagaba (mod. uncertain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"17","Ba-milkišu (mod. uncertain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"18","uncertain (mod. Mah-i-dasht plain)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0"
"19","uncertain (mod. Khan Haswa)","8","44.40163261783205, 32.827744969738085",,"Khān Ḥaswā","0","KHW","خان حسوا",,,,NULL,,,"0",,"0","44.4016","32.8277","2"
"20","uncertain (mod. Kizkapanlı)","2","37.28502404182889, 37.39504470883422",,"Kizkapanlı","193878353","KZK",,,,,NULL,,,"0",,"0","37.2850","37.3950","2"
"21","Ur (mod. Tell Muqayyar)","8","46.105443866695225, 30.960978097036044","Ur","Tall al-Muqayyar","912985","URI","تل المقير",,,,NULL,,,"0",,"0","46.1063","30.9608","3"
"22","Nippur (mod. Nuffar)","8","45.23002718281834, 32.127158659282706","Nippur","Nufar","912910","NIP","نفر",,,,NULL,,,"0",,"0","45.2300","32.1272","3"
"23","Kutha (mod. Tell Ibrahim)","8","44.611251293127125, 32.76055696717829","Gudua","Tall Ībrāhīm","893977","GUD","تل إبراهيم",,,,NULL,,,"0",,"0","44.6113","32.7606","3"
